"Midyear Population and Density for Region Summary"
Region,Country,Year,Population,"Area (sq. km.)","Density (persons per sq. km.)"
"Custom Region",Afghanistan,2020,36643815,652230,56.2
"Custom Region",Albania,2020,3074579,27398,112.2
World,Afghanistan,2020,36643815,652230,56.2
World,Albania,2020,3074579,27398,112.2
World,Algeria,2020,42972878,2381740,18.0
World,"American Samoa",2020,49437,198,250.0
World,Andorra,2020,85635,468,183.0
World,Angola,2020,32522339,1246700,26.1
World,Anguilla,2020,18090,91,198.8
World,"Antigua and Barbuda",2020,98179,443,221.8
World,Argentina,2020,45479118,2736690,16.6
World,Armenia,2020,3021324,28203,107.1
World,Aruba,2020,119428,180,663.5
World,Australia,2020,25466459,7682300,3.3
World,Austria,2020,8859449,82445,107.5
World,Azerbaijan,2020,10205810,82629,123.5
World,"Bahamas, The",2020,337721,10010,33.7
World,Bahrain,2020,1505003,760,1980.3
World,Bangladesh,2020,162650853,130170,1249.5
World,Barbados,2020,294560,430,685.0
World,Belarus,2020,9477918,202900,46.7
World,Belgium,2020,11720716,30278,387.1
World,Belize,2020,399598,22806,17.5
World,Benin,2020,12864634,110622,116.3
World,Bermuda,2020,71750,54,1328.7
World,Bhutan,2020,782318,38394,20.4
World,Bolivia,2020,11639909,1083301,10.7
World,"Bosnia and Herzegovina",2020,3835586,51187,74.9
World,Botswana,2020,2317233,566730,4.1
World,Brazil,2020,211715973,8358140,25.3
World,Brunei,2020,464478,5265,88.2
World,Bulgaria,2020,6966899,108489,64.2
World,"Burkina Faso",2020,20835401,273800,76.1
World,Burma,2020,56590071,653508,86.6
World,Burundi,2020,11865821,25680,462.1
World,"Cabo Verde",2020,583255,4033,144.6
World,Cambodia,2020,16926984,176515,95.9
World,Cameroon,2020,27744989,472710,58.7
World,Canada,2020,37694085,9093507,4.1
World,"Cayman Islands",2020,61944,264,234.6
World,"Central African Republic",2020,5990855,622984,9.6
World,Chad,2020,16877357,1259200,13.4
World,Chile,2020,18186770,743812,24.5
World,China,2020,1394015977,9326410,149.5
World,Colombia,2020,49084841,1038700,47.3
World,Comoros,2020,846281,2235,378.6
World,"Congo (Brazzaville)",2020,5293070,341500,15.5
World,"Congo (Kinshasa)",2020,101780263,2267048,44.9
World,"Cook Islands",2020,8574,236,36.3
World,"Costa Rica",2020,5097988,51060,99.8
World,"Cote d'Ivoire",2020,27481086,318003,86.4
World,Croatia,2020,4227746,55974,75.5
World,Cuba,2020,11059062,109820,100.7
World,Curacao,2020,151345,444,340.9
World,Cyprus,2020,1266676,9241,137.1
World,Czechia,2020,10702498,77247,138.5
World,Denmark,2020,5869410,42434,138.3
World,Djibouti,2020,921804,23180,39.8
World,Dominica,2020,74243,751,98.9
World,"Dominican Republic",2020,10499707,48320,217.3
World,Ecuador,2020,16904867,276841,61.1
World,Egypt,2020,104124440,995450,104.6
World,"El Salvador",2020,6481102,20721,312.8
World,"Equatorial Guinea",2020,836178,28051,29.8
World,Eritrea,2020,6081196,101000,60.2
World,Estonia,2020,1228624,42388,29.0
World,Eswatini,2020,1104479,17204,64.2
World,Ethiopia,2020,108113150,1096570,98.6
World,"Faroe Islands",2020,51628,1393,37.1
World,Fiji,2020,935974,18274,51.2
World,Finland,2020,5571665,303815,18.3
World,France,2020,67848156,640427,105.9
World,"French Polynesia",2020,295121,3827,77.1
World,Gabon,2020,2230908,257667,8.7
World,"Gambia, The",2020,2173999,10120,214.8
World,"Gaza Strip",2020,1918221,360,5328.4
World,Georgia,2020,4930030,69700,70.7
World,Germany,2020,80159662,348672,229.9
World,Ghana,2020,29340248,227533,128.9
World,Gibraltar,2020,29581,7,4550.9
World,Greece,2020,10607051,130647,81.2
World,Greenland,2020,57616,2166086,0.0
World,Grenada,2020,113094,344,328.8
World,Guam,2020,168485,544,310.0
World,Guatemala,2020,17153288,107159,160.1
World,Guernsey,2020,67052,78,859.6
World,Guinea,2020,12527440,245717,51.0
World,Guinea-Bissau,2020,1927104,28120,68.5
World,Guyana,2020,750204,196849,3.8
World,Haiti,2020,11067777,27560,401.6
World,Honduras,2020,9235340,111890,82.5
World,"Hong Kong",2020,7249907,1073,6756.7
World,Hungary,2020,9771827,89608,109.1
World,Iceland,2020,350734,100250,3.5
World,India,2020,1326093247,2973193,446.0
World,Indonesia,2020,267026366,1811569,147.4
World,Iran,2020,84923314,1531595,55.4
World,Iraq,2020,38872655,437367,88.9
World,Ireland,2020,5176569,68883,75.2
World,"Isle of Man",2020,90499,572,158.2
World,Israel,2020,8675475,21497,403.6
World,Italy,2020,62402659,294140,212.2
World,Jamaica,2020,2808570,10831,259.3
World,Japan,2020,125507472,364485,344.3
World,Jersey,2020,101073,116,871.3
World,Jordan,2020,10820644,88802,121.9
World,Kazakhstan,2020,19091949,2699700,7.1
World,Kenya,2020,53527936,569140,94.1
World,Kiribati,2020,111796,811,137.8
World,"Korea, North",2020,25643466,120408,213.0
World,"Korea, South",2020,51835110,96920,534.8
World,Kosovo,2020,1932774,10887,177.5
World,Kuwait,2020,2993706,17818,168.0
World,Kyrgyzstan,2020,5964897,191801,31.1
World,Laos,2020,7447396,230800,32.3
World,Latvia,2020,1881232,62249,30.2
World,Lebanon,2020,5469612,10230,534.7
World,Lesotho,2020,1969334,30355,64.9
World,Liberia,2020,5073296,96320,52.7
World,Libya,2020,6890535,1759540,3.9
World,Liechtenstein,2020,39137,160,244.6
World,Lithuania,2020,2731464,62680,43.6
World,Luxembourg,2020,628381,2586,243.0
World,Macau,2020,614458,28,21789.3
World,Madagascar,2020,26955737,581540,46.4
World,Malawi,2020,21196629,94080,225.3
World,Malaysia,2020,32652083,328657,99.4
World,Maldives,2020,391904,298,1315.1
World,Mali,2020,19553397,1220190,16.0
World,Malta,2020,457267,316,1447.0
World,"Marshall Islands",2020,77917,181,430.5
World,Mauritania,2020,4005475,1030700,3.9
World,Mauritius,2020,1379365,2030,679.5
World,Mexico,2020,128649565,1943945,66.2
World,"Micronesia, Federated States of",2020,102436,702,145.9
World,Moldova,2020,3364496,32891,102.3
World,Monaco,2020,30940,2,15470.0
World,Mongolia,2020,3168026,1553556,2.0
World,Montenegro,2020,609859,13452,45.3
World,Montserrat,2020,5373,102,52.7
World,Morocco,2020,35561654,446300,79.7
World,Mozambique,2020,30098197,786380,38.3
World,Namibia,2020,2630073,823290,3.2
World,Nauru,2020,9785,21,466.0
World,Nepal,2020,30327877,143351,211.6
World,Netherlands,2020,17280397,33893,509.9
