"Midyear Population and Density for Region Summary"
Region,Country,Year,Population,"Area (sq. km.)","Density (persons per sq. km.)"
Africa,Algeria,2020,42972878,2381740,18.0
Africa,Angola,2020,32522339,1246700,26.1
Africa,Benin,2020,12864634,110622,116.3
Africa,Botswana,2020,2317233,566730,4.1
Africa,"Burkina Faso",2020,20835401,273800,76.1
Africa,Burundi,2020,11865821,25680,462.1
Africa,"Cabo Verde",2020,583255,4033,144.6
Africa,Cameroon,2020,27744989,472710,58.7
Africa,"Central African Republic",2020,5990855,622984,9.6
Africa,Chad,2020,16877357,1259200,13.4
Africa,Comoros,2020,846281,2235,378.6
Africa,"Congo (Brazzaville)",2020,5293070,341500,15.5
Africa,"Congo (Kinshasa)",2020,101780263,2267048,44.9
Africa,"Cote d'Ivoire",2020,27481086,318003,86.4
Africa,Djibouti,2020,921804,23180,39.8
Africa,Egypt,2020,104124440,995450,104.6
Africa,"Equatorial Guinea",2020,836178,28051,29.8
Africa,Eritrea,2020,6081196,101000,60.2
Africa,Eswatini,2020,1104479,17204,64.2
Africa,Ethiopia,2020,108113150,1096570,98.6
Africa,Gabon,2020,2230908,257667,8.7
Africa,"Gambia, The",2020,2173999,10120,214.8
Africa,Ghana,2020,29340248,227533,128.9
Africa,Guinea,2020,12527440,245717,51.0
Africa,Guinea-Bissau,2020,1927104,28120,68.5
Africa,Kenya,2020,53527936,569140,94.1
Africa,Lesotho,2020,1969334,30355,64.9
Africa,Liberia,2020,5073296,96320,52.7
Africa,Libya,2020,6890535,1759540,3.9
Africa,Madagascar,2020,26955737,581540,46.4
Africa,Malawi,2020,21196629,94080,225.3
Africa,Mali,2020,19553397,1220190,16.0
Africa,Mauritania,2020,4005475,1030700,3.9
Africa,Mauritius,2020,1379365,2030,679.5
Africa,Morocco,2020,35561654,446300,79.7
Africa,Mozambique,2020,30098197,786380,38.3
Africa,Namibia,2020,2630073,823290,3.2
Africa,Niger,2020,22772361,1266700,18.0
Africa,Nigeria,2020,214028302,910768,235.0
Africa,Rwanda,2020,12712431,24668,515.3
Africa,"Saint Helena, Ascension, and Tristan da Cunha",2020,7862,394,20.0
Africa,"Sao Tome and Principe",2020,211122,964,219.0
Africa,Senegal,2020,15736368,192530,81.7
Africa,Seychelles,2020,95981,455,210.9
Africa,"Sierra Leone",2020,6624933,71620,92.5
Africa,Somalia,2020,11757124,627337,18.7
Africa,"South Africa",2020,56463617,1214470,46.5
Africa,"South Sudan",2020,10561244,644329,16.4
Africa,Sudan,2020,45561556,1861484,24.5
Africa,Tanzania,2020,58552845,885800,66.1
Africa,Togo,2020,8608444,54385,158.3
Africa,Tunisia,2020,11721177,155360,75.4
Africa,Uganda,2020,43252966,197100,219.4
Africa,"Western Sahara",2020,652271,266000,2.5
